comment_id.S,attachment_num.N,comment_id_att.S,comment.S,user.S,docket_id.S,when.S,user_docket.S
CMS-2022-0074-1266,4,CMS-2022-0074-1266_4,Barrett et al. Annals of Intensive Care   (2022) 12:36 https://doi.org/10.1186/s13613-022-01006-8 Open Access RESEARCH A randomised controlled trial of non-invasive ventilation compared with extracorporeal carbon dioxide removal for acute hypercapnic exacerbations of chronic obstructive pulmonary di,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:57,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-1240,3,CMS-2022-0074-1240_3,"Open Forum Infectious Diseases B R I E F R E P O R T Peripheral Intravenous Catheter Placement Is an Underrecognized Source of Staphylococcus aureus Bloodstream Infection Eloise D. Austin,1 Sean B. Sullivan,1 Susan Whittier,2 Franklin D. Lowy,1,2 and Anne-Catrin Uhlemann1 1Department of Medicine, Di",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:00,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-1240,2,CMS-2022-0074-1240_2,"The Art and Science of Infusion Nursing The Art and Science of Infusion Nursing  Robert E. Helm , MD   Jeffrey D. Klausner , MD, MPH   John D. Klemperer , MD   Lori M. Flint , BSN, RN, CCRN   Emily Huang , BA  Accepted but Unacceptable: Peripheral IV Catheter Failure   ABSTRACT  Peripheral intraveno",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:00,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-1240,1,CMS-2022-0074-1240_1,"Open Forum Infectious Diseases M A J O R A R T I C L E Risk Factors and Outcomes Associated With Hospital- Onset Peripheral Intravenous Catheter–Associated Staphylococcus aureus Bacteremia Mica Blauw,1 Betsy Foxman,4 Juan Wu,2 Janice Rey,1 Neelay Kothari,3 and Anurag N. Malani1,3 1Department of Infe",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:59,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-1219,4,CMS-2022-0074-1219_4,"RN STAFFING RATIOS A Necessary Solution to the Patient Safety Crisis in U.S. Hospitals Our Patients. Our Union. Our Voice.  RN STAFFING RATIOS ARE SAVING LIVES AND BRINGING RNs BACK TO THE BEDSIDE NNU stands ready to help you bring ratios to your state Dear colleague, To be a nurse is to care for pe",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:57,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-1219,3,CMS-2022-0074-1219_3,"Protecting Our Front Line Ending the Shortage of Good Nursing Jobs and the Industry-created Unsafe Staffing Crisis December 2021 www.NationalNursesUnited.org  INTRODUCTION In this report, National Nurses United (NNU) describes how the hospital industry has driven registered nurses (RNs) from the bed",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:56,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-1219,2,CMS-2022-0074-1219_2,Deadly Shame Redressing the Devaluation of Registered Nurse Labor Through Pandemic Equity December 2020 www.NationalNursesUnited.org  TABLE OF CONTENTS  Executive Summary ............................................................................................................................... 4,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:56,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0747,2,CMS-2022-0074-0747_2,"                                  Improving Health Equity: Address the Multiple Determinants of Health Guidance for Health Care Organizations      AN IHI RESOURCE  53 State Street, 19th Floor, Boston, MA 02109 • ihi.org  How to Cite This Document: Improving Health Equity: Address the Multiple Determ",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:08,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0747,1,CMS-2022-0074-0747_1,"                                              WHITE PAPER  Achieving Health Equity: A Guide for Health Care Organizations  AN IHI RESOURCE  20 University Road, Cambridge, MA 02138 • ihi.org  How to Cite This Paper: Wyatt R, Laderman M, Botwinick L, Mate K, Whittington J. Achieving Health Equity: A G",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:07,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0563,2,CMS-2022-0074-0563_2,"    Ashbec Hospital Patient Safety Rating System Author(s): W. Vaughn Frick  Analysis Report  Date: 30 November 2019  Explaining the ""why"" and the ""what"" of the Ashbec Hospital Patient Safety Rating System   Management Summary   There are already a number of hospital patient safety rating approaches",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:07,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0563,1,CMS-2022-0074-0563_1,Facility Name CHRISTIANA HOSPITAL ADVENTHEALTH ORLANDO NORTH SHORE UNIVERSITY HOSPITAL MORRISTOWN MEDICAL CENTER NAPLES COMMUNITY HOSPITAL MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL NEW YORK-PRESBYTERIAN HOSPITAL SARASOTA MEMORIAL HOSPIT,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:06,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0348,2,CMS-2022-0074-0348_2, ,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:06,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0348,1,CMS-2022-0074-0348_1, ,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:05,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0023,2,CMS-2022-0074-0023_2,"165670 Carmen Lliteras Doctor Center Hospital San Fernando De La Carolina Po Box 8788 San Juan, PR 00910 Provider Audit and Reimbursement 2020 Technology Parkway Suite 100 Mechanicsburg, PA 17050 PG1  February 24, 2022 Carmen Lliteras Doctor Center Hospital San Fernando De La Carolina Po Box 8788 Sa",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:03,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0023,1,CMS-2022-0074-0023_1, (cid:120) (cid:120) (cid:120)                                                                      (cid:3)  ,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 14:03,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0013,3,CMS-2022-0074-0013_3,AHA/ASA Expert Consensus Document An Updated Definition of Stroke for the 21st Century A Statement for Healthcare Professionals From the American Heart  Association/American Stroke Association The American Academy of Neurology affirms the value of this statement as an educational  tool for neurologi,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:58,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0013,2,CMS-2022-0074-0013_2,AHA SCIENTIFIC STATEMENT Management of Central Retinal Artery Occlusion A Scientific Statement From the American Heart Association The American Association of Neurological Surgeons/Congress of Neurological Surgeons Cerebrovascular Section affirms the educational benefit of this document.  Endorsed b,harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:58,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0074-0013,1,CMS-2022-0074-0013_1,"Topical Review Thrombolytic Therapy for Acute Central Retinal  Artery Occlusion Brian Mac Grory, MB BCh BAO, MRCP; Patrick Lavin, MB BCh BAO, MRCPI;  Howard Kirshner, MD, PhD; Matthew Schrag, MD, PhD Central retinal artery occlusion (CRAO) causes an interrup- tion of blood flow to the retina resulti",harpokta_test.abagyi,CMS-2022-0074,2022/10/06 13:58,harpokta_test.abagyi_CMS-2022-0074
CMS-2022-0069-6417,3,CMS-2022-0069-6417_3,"Protecting Our Front Line Ending the Shortage of Good Nursing Jobs and the Industry-created Unsafe Staffing Crisis December 2021 www.NationalNursesUnited.org  INTRODUCTION In this report, National Nurses United (NNU) describes how the hospital industry has driven registered nurses (RNs) from the bed",harpokta_test.abagyi,CMS-2022-0069,2022/10/06 13:49,harpokta_test.abagyi_CMS-2022-0069
CMS-2022-0069-6417,2,CMS-2022-0069-6417_2,"RN STAFFING RATIOS A Necessary Solution to the Patient Safety Crisis in U.S. Hospitals Our Patients. Our Union. Our Voice.  RN STAFFING RATIOS ARE SAVING LIVES AND BRINGING RNs BACK TO THE BEDSIDE NNU stands ready to help you bring ratios to your state Dear colleague, To be a nurse is to care for pe",harpokta_test.abagyi,CMS-2022-0069,2022/10/06 13:49,harpokta_test.abagyi_CMS-2022-0069
CMS-2022-0069-5901,3,CMS-2022-0069-5901_3, ,harpokta_test.abagyi,CMS-2022-0069,2022/10/06 13:48,harpokta_test.abagyi_CMS-2022-0069
CMS-2022-0069-5901,2,CMS-2022-0069-5901_2, ,harpokta_test.abagyi,CMS-2022-0069,2022/10/06 13:48,harpokta_test.abagyi_CMS-2022-0069
CMS-2022-0069-5901,1,CMS-2022-0069-5901_1, ,harpokta_test.abagyi,CMS-2022-0069,2022/10/06 13:48,harpokta_test.abagyi_CMS-2022-0069
CMS-2022-0069-4660,6,CMS-2022-0069-4660_6," Staffing Matters  On February 28, 2022, President Biden announced a set of nursing home reforms that would be the most significant increase in protections for nursing home residents in decades. The cornerstone of his plan is to create a federal minimum staffing standard. Currently, federal regulati",harpokta_test.abagyi,CMS-2022-0069,2022/10/06 13:45,harpokta_test.abagyi_CMS-2022-0069
